AMBITO_NOMBRE,EMBALSE_NOMBRE,FECHA,AGUA_TOTAL,AGUA_ACTUAL,ELECTRICO_FLAG
"Miño - Sil","Bao","01/17/89 00:00:00","238,00","141,00",1
"Miño - Sil","Bao","01/24/89 00:00:00","238,00","143,00",1
"Miño - Sil","Bao","01/31/89 00:00:00","238,00","145,00",1
"Miño - Sil","Bao","02/07/89 00:00:00","238,00","144,00",1
"Miño - Sil","Bao","02/14/89 00:00:00","238,00","145,00",1
"Miño - Sil","Bao","02/21/89 00:00:00","238,00","148,00",1
"Miño - Sil","Bao","02/28/89 00:00:00","238,00","154,00",1
"Miño - Sil","Bao","03/07/89 00:00:00","238,00","168,00",1
"Miño - Sil","Bao","03/14/89 00:00:00","238,00","179,00",1
"Miño - Sil","Bao","03/21/89 00:00:00","238,00","184,00",1
"Miño - Sil","Bao","03/28/89 00:00:00","238,00","187,00",1
"Miño - Sil","Bao","04/04/89 00:00:00","238,00","194,00",1
"Miño - Sil","Bao","04/11/89 00:00:00","238,00","201,00",1
"Miño - Sil","Bao","04/18/89 00:00:00","238,00","215,00",1
"Miño - Sil","Bao","04/25/89 00:00:00","238,00","220,00",1
"Miño - Sil","Bao","05/02/89 00:00:00","238,00","216,00",1
"Miño - Sil","Bao","05/09/89 00:00:00","238,00","210,00",1
"Miño - Sil","Bao","05/16/89 00:00:00","238,00","205,00",1
"Miño - Sil","Bao","05/23/89 00:00:00","238,00","191,00",1
"Miño - Sil","Bao","05/30/89 00:00:00","238,00","189,00",1
"Miño - Sil","Bao","06/06/89 00:00:00","238,00","191,00",1
"Miño - Sil","Bao","06/13/89 00:00:00","238,00","195,00",1
"Miño - Sil","Bao","06/20/89 00:00:00","238,00","199,00",1
"Miño - Sil","Bao","06/27/89 00:00:00","238,00","201,00",1
"Miño - Sil","Bao","07/04/89 00:00:00","238,00","192,00",1
"Miño - Sil","Bao","07/11/89 00:00:00","238,00","179,00",1
"Miño - Sil","Bao","07/18/89 00:00:00","238,00","170,00",1
"Miño - Sil","Bao","07/25/89 00:00:00","238,00","176,00",1
"Miño - Sil","Bao","08/01/89 00:00:00","238,00","173,00",1
"Miño - Sil","Bao","08/08/89 00:00:00","238,00","156,00",1
"Miño - Sil","Bao","08/15/89 00:00:00","238,00","141,00",1
"Miño - Sil","Bao","08/22/89 00:00:00","238,00","134,00",1
"Miño - Sil","Bao","08/29/89 00:00:00","238,00","134,00",1
"Miño - Sil","Bao","09/05/89 00:00:00","238,00","107,00",1
"Miño - Sil","Bao","09/12/89 00:00:00","238,00","103,00",1
"Miño - Sil","Bao","09/19/89 00:00:00","238,00","86,00",1
"Miño - Sil","Bao","09/26/89 00:00:00","238,00","89,00",1
"Miño - Sil","Bao","10/03/89 00:00:00","238,00","105,00",1
"Miño - Sil","Bao","10/10/89 00:00:00","238,00","105,00",1
"Miño - Sil","Bao","10/17/89 00:00:00","238,00","105,00",1
"Miño - Sil","Bao","10/24/89 00:00:00","238,00","104,00",1
"Miño - Sil","Bao","10/31/89 00:00:00","238,00","116,00",1
"Miño - Sil","Bao","11/07/89 00:00:00","238,00","121,00",1
"Miño - Sil","Bao","11/14/89 00:00:00","238,00","124,00",1
"Miño - Sil","Bao","11/21/89 00:00:00","238,00","136,00",1
"Miño - Sil","Bao","11/28/89 00:00:00","238,00","156,00",1
"Miño - Sil","Bao","12/05/89 00:00:00","238,00","163,00",1
"Miño - Sil","Bao","12/12/89 00:00:00","238,00","167,00",1
"Miño - Sil","Bao","12/19/89 00:00:00","238,00","197,00",1
"Miño - Sil","Bao","12/26/89 00:00:00","238,00","212,00",1
"Miño - Sil","Bao","01/02/90 00:00:00","238,00","212,00",1
"Miño - Sil","Bao","01/09/90 00:00:00","238,00","205,00",1
"Miño - Sil","Bao","01/16/90 00:00:00","238,00","197,00",1
"Miño - Sil","Bao","01/23/90 00:00:00","238,00","191,00",1
"Miño - Sil","Bao","01/30/90 00:00:00","238,00","198,00",1
"Miño - Sil","Bao","02/06/90 00:00:00","238,00","189,00",1
"Miño - Sil","Bao","02/13/90 00:00:00","238,00","201,00",1
"Miño - Sil","Bao","02/20/90 00:00:00","238,00","198,00",1
"Miño - Sil","Bao","02/27/90 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","03/06/90 00:00:00","238,00","189,00",1
"Miño - Sil","Bao","03/13/90 00:00:00","238,00","191,00",1
"Miño - Sil","Bao","03/20/90 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","03/27/90 00:00:00","238,00","200,00",1
"Miño - Sil","Bao","04/03/90 00:00:00","238,00","201,00",1
"Miño - Sil","Bao","04/10/90 00:00:00","238,00","201,00",1
"Miño - Sil","Bao","04/17/90 00:00:00","238,00","203,00",1
"Miño - Sil","Bao","04/24/90 00:00:00","238,00","199,00",1
"Miño - Sil","Bao","05/01/90 00:00:00","238,00","193,00",1
"Miño - Sil","Bao","05/08/90 00:00:00","238,00","195,00",1
"Miño - Sil","Bao","05/15/90 00:00:00","238,00","193,00",1
"Miño - Sil","Bao","05/22/90 00:00:00","238,00","194,00",1
"Miño - Sil","Bao","05/29/90 00:00:00","238,00","193,00",1
"Miño - Sil","Bao","06/05/90 00:00:00","238,00","193,00",1
"Miño - Sil","Bao","06/12/90 00:00:00","238,00","197,00",1
"Miño - Sil","Bao","06/19/90 00:00:00","238,00","197,00",1
"Miño - Sil","Bao","06/26/90 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","07/03/90 00:00:00","238,00","198,00",1
"Miño - Sil","Bao","07/10/90 00:00:00","238,00","197,00",1
"Miño - Sil","Bao","07/17/90 00:00:00","238,00","197,00",1
"Miño - Sil","Bao","07/24/90 00:00:00","238,00","184,00",1
"Miño - Sil","Bao","07/31/90 00:00:00","238,00","178,00",1
"Miño - Sil","Bao","08/07/90 00:00:00","238,00","178,00",1
"Miño - Sil","Bao","08/14/90 00:00:00","238,00","178,00",1
"Miño - Sil","Bao","08/21/90 00:00:00","238,00","179,00",1
"Miño - Sil","Bao","08/28/90 00:00:00","238,00","180,00",1
"Miño - Sil","Bao","09/04/90 00:00:00","238,00","181,00",1
"Miño - Sil","Bao","09/11/90 00:00:00","238,00","177,00",1
"Miño - Sil","Bao","09/18/90 00:00:00","238,00","168,00",1
"Miño - Sil","Bao","09/25/90 00:00:00","238,00","161,00",1
"Miño - Sil","Bao","10/02/90 00:00:00","238,00","152,00",1
"Miño - Sil","Bao","10/09/90 00:00:00","238,00","152,00",1
"Miño - Sil","Bao","10/16/90 00:00:00","238,00","147,00",1
"Miño - Sil","Bao","10/23/90 00:00:00","238,00","146,00",1
"Miño - Sil","Bao","10/30/90 00:00:00","238,00","146,00",1
"Miño - Sil","Bao","11/06/90 00:00:00","238,00","148,00",1
"Miño - Sil","Bao","11/13/90 00:00:00","238,00","155,00",1
"Miño - Sil","Bao","11/20/90 00:00:00","238,00","149,00",1
"Miño - Sil","Bao","11/27/90 00:00:00","238,00","146,00",1
"Miño - Sil","Bao","12/04/90 00:00:00","238,00","132,00",1
"Miño - Sil","Bao","12/11/90 00:00:00","238,00","137,00",1
"Miño - Sil","Bao","12/18/90 00:00:00","238,00","123,00",1
"Miño - Sil","Bao","12/25/90 00:00:00","238,00","112,00",1
"Miño - Sil","Bao","01/01/91 00:00:00","238,00","117,00",1
"Miño - Sil","Bao","01/08/91 00:00:00","238,00","127,00",1
"Miño - Sil","Bao","01/15/91 00:00:00","238,00","142,00",1
"Miño - Sil","Bao","01/22/91 00:00:00","238,00","154,00",1
"Miño - Sil","Bao","01/29/91 00:00:00","238,00","151,00",1
"Miño - Sil","Bao","02/05/91 00:00:00","238,00","149,00",1
"Miño - Sil","Bao","02/12/91 00:00:00","238,00","138,00",1
"Miño - Sil","Bao","02/19/91 00:00:00","238,00","144,00",1
"Miño - Sil","Bao","02/26/91 00:00:00","238,00","147,00",1
"Miño - Sil","Bao","03/05/91 00:00:00","238,00","158,00",1
"Miño - Sil","Bao","03/12/91 00:00:00","238,00","188,00",1
"Miño - Sil","Bao","03/19/91 00:00:00","238,00","175,00",1
"Miño - Sil","Bao","03/26/91 00:00:00","238,00","177,00",1
"Miño - Sil","Bao","04/02/91 00:00:00","238,00","187,00",1
"Miño - Sil","Bao","04/09/91 00:00:00","238,00","193,00",1
"Miño - Sil","Bao","04/16/91 00:00:00","238,00","190,00",1
"Miño - Sil","Bao","04/23/91 00:00:00","238,00","190,00",1
"Miño - Sil","Bao","04/30/91 00:00:00","238,00","185,00",1
"Miño - Sil","Bao","05/07/91 00:00:00","238,00","177,00",1
"Miño - Sil","Bao","05/14/91 00:00:00","238,00","176,00",1
"Miño - Sil","Bao","05/21/91 00:00:00","238,00","181,00",1
"Miño - Sil","Bao","05/28/91 00:00:00","238,00","186,00",1
"Miño - Sil","Bao","06/04/91 00:00:00","238,00","190,00",1
"Miño - Sil","Bao","06/11/91 00:00:00","238,00","197,00",1
"Miño - Sil","Bao","06/18/91 00:00:00","238,00","198,00",1
"Miño - Sil","Bao","06/25/91 00:00:00","238,00","202,00",1
"Miño - Sil","Bao","07/02/91 00:00:00","238,00","203,00",1
"Miño - Sil","Bao","07/09/91 00:00:00","238,00","202,00",1
"Miño - Sil","Bao","07/16/91 00:00:00","238,00","205,00",1
"Miño - Sil","Bao","07/23/91 00:00:00","238,00","205,00",1
"Miño - Sil","Bao","07/30/91 00:00:00","238,00","205,00",1
"Miño - Sil","Bao","08/06/91 00:00:00","238,00","207,00",1
"Miño - Sil","Bao","08/13/91 00:00:00","238,00","211,00",1
"Miño - Sil","Bao","08/20/91 00:00:00","238,00","213,00",1
"Miño - Sil","Bao","08/27/91 00:00:00","238,00","213,00",1
"Miño - Sil","Bao","09/03/91 00:00:00","238,00","204,00",1
"Miño - Sil","Bao","09/10/91 00:00:00","238,00","187,00",1
"Miño - Sil","Bao","09/17/91 00:00:00","238,00","174,00",1
"Miño - Sil","Bao","09/24/91 00:00:00","238,00","170,00",1
"Miño - Sil","Bao","10/01/91 00:00:00","238,00","168,00",1
"Miño - Sil","Bao","10/08/91 00:00:00","238,00","163,00",1
"Miño - Sil","Bao","10/15/91 00:00:00","238,00","163,00",1
"Miño - Sil","Bao","10/22/91 00:00:00","238,00","155,00",1
"Miño - Sil","Bao","10/29/91 00:00:00","238,00","148,00",1
"Miño - Sil","Bao","11/05/91 00:00:00","238,00","143,00",1
"Miño - Sil","Bao","11/12/91 00:00:00","238,00","138,00",1
"Miño - Sil","Bao","11/19/91 00:00:00","238,00","143,00",1
"Miño - Sil","Bao","11/26/91 00:00:00","238,00","153,00",1
"Miño - Sil","Bao","12/03/91 00:00:00","238,00","145,00",1
"Miño - Sil","Bao","12/10/91 00:00:00","238,00","142,00",1
"Miño - Sil","Bao","12/17/91 00:00:00","238,00","143,00",1
"Miño - Sil","Bao","12/24/91 00:00:00","238,00","141,00",1
"Miño - Sil","Bao","12/31/91 00:00:00","238,00","140,00",1
"Miño - Sil","Bao","01/07/92 00:00:00","238,00","143,00",1
"Miño - Sil","Bao","01/14/92 00:00:00","238,00","143,00",1
"Miño - Sil","Bao","01/21/92 00:00:00","238,00","138,00",1
"Miño - Sil","Bao","01/28/92 00:00:00","238,00","137,00",1
"Miño - Sil","Bao","02/04/92 00:00:00","238,00","132,00",1
"Miño - Sil","Bao","02/11/92 00:00:00","238,00","127,00",1
"Miño - Sil","Bao","02/18/92 00:00:00","238,00","124,00",1
"Miño - Sil","Bao","02/25/92 00:00:00","238,00","122,00",1
"Miño - Sil","Bao","03/03/92 00:00:00","238,00","120,00",1
"Miño - Sil","Bao","03/10/92 00:00:00","238,00","116,00",1
"Miño - Sil","Bao","03/17/92 00:00:00","238,00","116,00",1
"Miño - Sil","Bao","03/24/92 00:00:00","238,00","114,00",1
"Miño - Sil","Bao","03/31/92 00:00:00","238,00","113,00",1
"Miño - Sil","Bao","04/07/92 00:00:00","238,00","124,00",1
"Miño - Sil","Bao","04/14/92 00:00:00","238,00","136,00",1
"Miño - Sil","Bao","04/21/92 00:00:00","238,00","132,00",1
"Miño - Sil","Bao","04/28/92 00:00:00","238,00","134,00",1
"Miño - Sil","Bao","05/05/92 00:00:00","238,00","137,00",1
"Miño - Sil","Bao","05/12/92 00:00:00","238,00","140,00",1
"Miño - Sil","Bao","05/19/92 00:00:00","238,00","143,00",1
"Miño - Sil","Bao","05/26/92 00:00:00","238,00","143,00",1
"Miño - Sil","Bao","06/02/92 00:00:00","238,00","144,00",1
"Miño - Sil","Bao","06/09/92 00:00:00","238,00","147,00",1
"Miño - Sil","Bao","06/16/92 00:00:00","238,00","150,00",1
"Miño - Sil","Bao","06/23/92 00:00:00","238,00","154,00",1
"Miño - Sil","Bao","06/30/92 00:00:00","238,00","157,00",1
"Miño - Sil","Bao","07/07/92 00:00:00","238,00","159,00",1
"Miño - Sil","Bao","07/14/92 00:00:00","238,00","157,00",1
"Miño - Sil","Bao","07/21/92 00:00:00","238,00","154,00",1
"Miño - Sil","Bao","07/28/92 00:00:00","238,00","154,00",1
"Miño - Sil","Bao","08/04/92 00:00:00","238,00","149,00",1
"Miño - Sil","Bao","08/11/92 00:00:00","238,00","150,00",1
"Miño - Sil","Bao","08/18/92 00:00:00","238,00","146,00",1
"Miño - Sil","Bao","08/25/92 00:00:00","238,00","145,00",1
"Miño - Sil","Bao","09/01/92 00:00:00","238,00","145,00",1
"Miño - Sil","Bao","09/08/92 00:00:00","238,00","144,00",1
"Miño - Sil","Bao","09/15/92 00:00:00","238,00","144,00",1
"Miño - Sil","Bao","09/22/92 00:00:00","238,00","139,00",1
"Miño - Sil","Bao","09/29/92 00:00:00","238,00","137,00",1
"Miño - Sil","Bao","10/06/92 00:00:00","238,00","132,00",1
"Miño - Sil","Bao","10/13/92 00:00:00","238,00","133,00",1
"Miño - Sil","Bao","10/20/92 00:00:00","238,00","134,00",1
"Miño - Sil","Bao","10/27/92 00:00:00","238,00","136,00",1
"Miño - Sil","Bao","11/03/92 00:00:00","238,00","136,00",1
"Miño - Sil","Bao","11/10/92 00:00:00","238,00","137,00",1
"Miño - Sil","Bao","11/17/92 00:00:00","238,00","133,00",1
"Miño - Sil","Bao","11/24/92 00:00:00","238,00","139,00",1
"Miño - Sil","Bao","12/01/92 00:00:00","238,00","137,00",1
"Miño - Sil","Bao","12/08/92 00:00:00","238,00","136,00",1
"Miño - Sil","Bao","12/15/92 00:00:00","238,00","146,00",1
"Miño - Sil","Bao","12/22/92 00:00:00","238,00","157,00",1
"Miño - Sil","Bao","12/29/92 00:00:00","238,00","159,00",1
"Miño - Sil","Bao","01/05/93 00:00:00","238,00","150,00",1
"Miño - Sil","Bao","01/12/93 00:00:00","238,00","151,00",1
"Miño - Sil","Bao","01/19/93 00:00:00","238,00","155,00",1
"Miño - Sil","Bao","01/26/93 00:00:00","238,00","156,00",1
"Miño - Sil","Bao","02/02/93 00:00:00","238,00","153,00",1
"Miño - Sil","Bao","02/09/93 00:00:00","238,00","154,00",1
"Miño - Sil","Bao","02/16/93 00:00:00","238,00","157,00",1
"Miño - Sil","Bao","02/23/93 00:00:00","238,00","160,00",1
"Miño - Sil","Bao","03/02/93 00:00:00","238,00","162,00",1
"Miño - Sil","Bao","03/09/93 00:00:00","238,00","161,00",1
"Miño - Sil","Bao","03/16/93 00:00:00","238,00","147,00",1
"Miño - Sil","Bao","03/23/93 00:00:00","238,00","136,00",1
"Miño - Sil","Bao","03/30/93 00:00:00","238,00","130,00",1
"Miño - Sil","Bao","04/06/93 00:00:00","238,00","127,00",1
"Miño - Sil","Bao","04/13/93 00:00:00","238,00","116,00",1
"Miño - Sil","Bao","04/20/93 00:00:00","238,00","122,00",1
"Miño - Sil","Bao","04/27/93 00:00:00","238,00","127,00",1
"Miño - Sil","Bao","05/04/93 00:00:00","238,00","132,00",1
"Miño - Sil","Bao","05/11/93 00:00:00","238,00","134,00",1
"Miño - Sil","Bao","05/18/93 00:00:00","238,00","133,00",1
"Miño - Sil","Bao","05/25/93 00:00:00","238,00","142,00",1
"Miño - Sil","Bao","06/01/93 00:00:00","238,00","168,00",1
"Miño - Sil","Bao","06/08/93 00:00:00","238,00","179,00",1
"Miño - Sil","Bao","06/15/93 00:00:00","238,00","193,00",1
"Miño - Sil","Bao","06/22/93 00:00:00","238,00","203,00",1
"Miño - Sil","Bao","06/29/93 00:00:00","238,00","208,00",1
"Miño - Sil","Bao","07/06/93 00:00:00","238,00","200,00",1
"Miño - Sil","Bao","07/13/93 00:00:00","238,00","195,00",1
"Miño - Sil","Bao","07/20/93 00:00:00","238,00","187,00",1
"Miño - Sil","Bao","07/27/93 00:00:00","238,00","191,00",1
"Miño - Sil","Bao","08/03/93 00:00:00","238,00","197,00",1
"Miño - Sil","Bao","08/10/93 00:00:00","238,00","195,00",1
"Miño - Sil","Bao","08/17/93 00:00:00","238,00","191,00",1
"Miño - Sil","Bao","08/24/93 00:00:00","238,00","190,00",1
"Miño - Sil","Bao","08/31/93 00:00:00","238,00","192,00",1
"Miño - Sil","Bao","09/07/93 00:00:00","238,00","190,00",1
"Miño - Sil","Bao","09/14/93 00:00:00","238,00","182,00",1
"Miño - Sil","Bao","09/21/93 00:00:00","238,00","184,00",1
"Miño - Sil","Bao","09/28/93 00:00:00","238,00","185,00",1
"Miño - Sil","Bao","10/05/93 00:00:00","238,00","185,00",1
"Miño - Sil","Bao","10/12/93 00:00:00","238,00","173,00",1
"Miño - Sil","Bao","10/19/93 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","10/26/93 00:00:00","238,00","206,00",1
"Miño - Sil","Bao","11/02/93 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","11/09/93 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","11/16/93 00:00:00","238,00","187,00",1
"Miño - Sil","Bao","11/23/93 00:00:00","238,00","177,00",1
"Miño - Sil","Bao","11/30/93 00:00:00","238,00","187,00",1
"Miño - Sil","Bao","12/07/93 00:00:00","238,00","187,00",1
"Miño - Sil","Bao","12/14/93 00:00:00","238,00","189,00",1
"Miño - Sil","Bao","12/21/93 00:00:00","238,00","188,00",1
"Miño - Sil","Bao","12/28/93 00:00:00","238,00","181,00",1
"Miño - Sil","Bao","01/04/94 00:00:00","238,00","191,00",1
"Miño - Sil","Bao","01/11/94 00:00:00","238,00","201,00",1
"Miño - Sil","Bao","01/18/94 00:00:00","238,00","191,00",1
"Miño - Sil","Bao","01/25/94 00:00:00","238,00","181,00",1
"Miño - Sil","Bao","02/01/94 00:00:00","238,00","187,00",1
"Miño - Sil","Bao","02/08/94 00:00:00","238,00","186,00",1
"Miño - Sil","Bao","02/15/94 00:00:00","238,00","177,00",1
"Miño - Sil","Bao","02/22/94 00:00:00","238,00","183,00",1
"Miño - Sil","Bao","03/01/94 00:00:00","238,00","185,00",1
"Miño - Sil","Bao","03/08/94 00:00:00","238,00","188,00",1
"Miño - Sil","Bao","03/15/94 00:00:00","238,00","181,00",1
"Miño - Sil","Bao","03/22/94 00:00:00","238,00","176,00",1
"Miño - Sil","Bao","03/29/94 00:00:00","238,00","180,00",1
"Miño - Sil","Bao","04/05/94 00:00:00","238,00","182,00",1
"Miño - Sil","Bao","04/12/94 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","04/19/94 00:00:00","238,00","204,00",1
"Miño - Sil","Bao","04/26/94 00:00:00","238,00","200,00",1
"Miño - Sil","Bao","05/03/94 00:00:00","238,00","193,00",1
"Miño - Sil","Bao","05/10/94 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","05/17/94 00:00:00","238,00","211,00",1
"Miño - Sil","Bao","05/24/94 00:00:00","238,00","215,00",1
"Miño - Sil","Bao","05/31/94 00:00:00","238,00","210,00",1
"Miño - Sil","Bao","06/07/94 00:00:00","238,00","206,00",1
"Miño - Sil","Bao","06/14/94 00:00:00","238,00","201,00",1
"Miño - Sil","Bao","06/21/94 00:00:00","238,00","195,00",1
"Miño - Sil","Bao","06/28/94 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","07/05/94 00:00:00","238,00","188,00",1
"Miño - Sil","Bao","07/12/94 00:00:00","238,00","183,00",1
"Miño - Sil","Bao","07/19/94 00:00:00","238,00","175,00",1
"Miño - Sil","Bao","07/26/94 00:00:00","238,00","172,00",1
"Miño - Sil","Bao","08/02/94 00:00:00","238,00","165,00",1
"Miño - Sil","Bao","08/09/94 00:00:00","238,00","161,00",1
"Miño - Sil","Bao","08/16/94 00:00:00","238,00","164,00",1
"Miño - Sil","Bao","08/23/94 00:00:00","238,00","164,00",1
"Miño - Sil","Bao","08/30/94 00:00:00","238,00","156,00",1
"Miño - Sil","Bao","09/06/94 00:00:00","238,00","146,00",1
"Miño - Sil","Bao","09/13/94 00:00:00","238,00","140,00",1
"Miño - Sil","Bao","09/20/94 00:00:00","238,00","129,00",1
"Miño - Sil","Bao","09/27/94 00:00:00","238,00","114,00",1
"Miño - Sil","Bao","10/04/94 00:00:00","238,00","98,00",1
"Miño - Sil","Bao","10/11/94 00:00:00","238,00","95,00",1
"Miño - Sil","Bao","10/18/94 00:00:00","238,00","96,00",1
"Miño - Sil","Bao","10/25/94 00:00:00","238,00","112,00",1
"Miño - Sil","Bao","11/01/94 00:00:00","238,00","128,00",1
"Miño - Sil","Bao","11/08/94 00:00:00","238,00","150,00",1
"Miño - Sil","Bao","11/15/94 00:00:00","238,00","159,00",1
"Miño - Sil","Bao","11/22/94 00:00:00","238,00","155,00",1
"Miño - Sil","Bao","11/29/94 00:00:00","238,00","143,00",1
"Miño - Sil","Bao","12/06/94 00:00:00","238,00","142,00",1
"Miño - Sil","Bao","12/13/94 00:00:00","238,00","153,00",1
"Miño - Sil","Bao","12/20/94 00:00:00","238,00","158,00",1
"Miño - Sil","Bao","12/27/94 00:00:00","238,00","151,00",1
"Miño - Sil","Bao","01/03/95 00:00:00","238,00","169,00",1
"Miño - Sil","Bao","01/10/95 00:00:00","238,00","181,00",1
"Miño - Sil","Bao","01/17/95 00:00:00","238,00","175,00",1
"Miño - Sil","Bao","01/24/95 00:00:00","238,00","171,00",1
"Miño - Sil","Bao","01/31/95 00:00:00","238,00","194,00",1
"Miño - Sil","Bao","02/07/95 00:00:00","238,00","190,00",1
"Miño - Sil","Bao","02/14/95 00:00:00","238,00","182,00",1
"Miño - Sil","Bao","02/21/95 00:00:00","238,00","194,00",1
"Miño - Sil","Bao","02/28/95 00:00:00","238,00","205,00",1
"Miño - Sil","Bao","03/07/95 00:00:00","238,00","208,00",1
"Miño - Sil","Bao","03/14/95 00:00:00","238,00","203,00",1
"Miño - Sil","Bao","03/21/95 00:00:00","238,00","194,00",1
"Miño - Sil","Bao","03/28/95 00:00:00","238,00","190,00",1
"Miño - Sil","Bao","04/04/95 00:00:00","238,00","195,00",1
"Miño - Sil","Bao","04/11/95 00:00:00","238,00","197,00",1
"Miño - Sil","Bao","04/18/95 00:00:00","238,00","199,00",1
"Miño - Sil","Bao","04/25/95 00:00:00","238,00","199,00",1
"Miño - Sil","Bao","05/02/95 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","05/09/95 00:00:00","238,00","193,00",1
"Miño - Sil","Bao","05/16/95 00:00:00","238,00","194,00",1
"Miño - Sil","Bao","05/23/95 00:00:00","238,00","194,00",1
"Miño - Sil","Bao","05/30/95 00:00:00","238,00","191,00",1
"Miño - Sil","Bao","06/06/95 00:00:00","238,00","192,00",1
"Miño - Sil","Bao","06/13/95 00:00:00","238,00","194,00",1
"Miño - Sil","Bao","06/20/95 00:00:00","238,00","196,00",1
"Miño - Sil","Bao","06/27/95 00:00:00","238,00","192,00",1
"Miño - Sil","Bao","07/04/95 00:00:00","238,00","193,00",1
"Miño - Sil","Bao","07/11/95 00:00:00","238,00","199,00",1
"Miño - Sil","Bao","07/18/95 00:00:00","238,00","200,00",1
"Miño - Sil","Bao","07/25/95 00:00:00","238,00","206,00",1
"Miño - Sil","Bao","08/01/95 00:00:00","238,00","203,00",1
