_id,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AreaRecreativaID,FECHA
223,5,5,EXCELENTE,17685,2022-08-11T00:00:00Z
224,1,1,DEFICIENTE,17942,2023-05-29T00:00:00Z
225,3,2,ACEPTABLE,17563,2021-04-01T00:00:00Z
226,4,5,EXCELENTE,7840483,2022-10-05T00:00:00Z
227,1,1,DEFICIENTE,18287,2022-05-02T00:00:00Z
228,1,1,DEFICIENTE,18393,2023-03-25T00:00:00Z
229,3,2,ACEPTABLE,16872,2021-08-03T00:00:00Z
230,3,4,MUY BUENO,451348,2022-01-27T00:00:00Z
231,3,4,MUY BUENO,18494,2022-09-19T00:00:00Z
232,3,4,MUY BUENO,7591554,2023-10-18T00:00:00Z
233,5,5,EXCELENTE,3573055,2021-02-04T00:00:00Z
234,5,5,EXCELENTE,18434,2022-02-11T00:00:00Z
235,5,4,EXCELENTE,18067,2022-04-30T00:00:00Z
236,4,4,EXCELENTE,18317,2023-11-10T00:00:00Z
237,4,4,EXCELENTE,5246186,2022-07-29T00:00:00Z
238,1,2,REGULAR,7125671,2023-01-28T00:00:00Z
239,1,1,DEFICIENTE,17433,2022-09-01T00:00:00Z
240,5,4,EXCELENTE,5653967,2023-12-05T00:00:00Z
241,5,4,EXCELENTE,3573055,2022-09-05T00:00:00Z
242,3,2,ACEPTABLE,17319,2023-10-11T00:00:00Z
243,2,3,ACEPTABLE,5195568,2021-09-26T00:00:00Z
244,4,5,EXCELENTE,17154,2023-07-07T00:00:00Z
245,3,2,ACEPTABLE,17885,2021-12-15T00:00:00Z
246,5,5,EXCELENTE,18505,2021-12-03T00:00:00Z
247,2,3,ACEPTABLE,18327,2023-11-28T00:00:00Z
248,5,4,EXCELENTE,7130028,2023-05-21T00:00:00Z
249,2,3,ACEPTABLE,18063,2023-01-12T00:00:00Z
250,1,1,DEFICIENTE,17148,2021-06-04T00:00:00Z
251,3,4,MUY BUENO,17256,2021-08-06T00:00:00Z
252,1,1,DEFICIENTE,7126156,2022-11-20T00:00:00Z
253,1,1,DEFICIENTE,7764194,2022-03-05T00:00:00Z
254,4,5,EXCELENTE,17326,2021-03-14T00:00:00Z
255,1,1,DEFICIENTE,18636,2021-11-08T00:00:00Z
256,1,2,REGULAR,7107695,2021-01-09T00:00:00Z
257,3,3,MUY BUENO,17761,2021-10-09T00:00:00Z
258,5,5,EXCELENTE,461342,2022-09-13T00:00:00Z
259,2,1,REGULAR,18292,2023-10-20T00:00:00Z
260,3,3,MUY BUENO,461181,2021-07-31T00:00:00Z
261,2,2,ACEPTABLE,17562,2023-06-25T00:00:00Z
262,1,2,REGULAR,17527,2022-02-06T00:00:00Z
263,3,3,MUY BUENO,52200,2022-09-15T00:00:00Z
264,2,2,ACEPTABLE,17604,2023-09-02T00:00:00Z
265,4,3,MUY BUENO,18413,2023-05-17T00:00:00Z
266,2,1,REGULAR,16725,2022-07-01T00:00:00Z
267,4,5,EXCELENTE,18268,2021-04-04T00:00:00Z
268,2,2,ACEPTABLE,17977,2022-12-27T00:00:00Z
269,1,2,REGULAR,17649,2021-07-30T00:00:00Z
270,5,5,EXCELENTE,6819611,2021-02-22T00:00:00Z
271,3,4,MUY BUENO,52189,2023-04-30T00:00:00Z
272,2,1,REGULAR,17092,2023-11-04T00:00:00Z
273,1,2,REGULAR,17929,2021-03-21T00:00:00Z
274,5,4,EXCELENTE,3566363,2022-01-16T00:00:00Z
275,3,4,MUY BUENO,5653896,2022-09-04T00:00:00Z
276,1,1,DEFICIENTE,18487,2021-12-19T00:00:00Z
277,4,5,EXCELENTE,17899,2021-08-09T00:00:00Z
278,1,1,DEFICIENTE,17746,2023-09-23T00:00:00Z
279,3,4,MUY BUENO,17424,2022-07-10T00:00:00Z
280,4,5,EXCELENTE,17996,2023-10-14T00:00:00Z
281,3,4,MUY BUENO,7107055,2022-07-06T00:00:00Z
282,1,1,DEFICIENTE,18297,2022-06-02T00:00:00Z
283,5,5,EXCELENTE,17505,2023-11-05T00:00:00Z
284,3,3,MUY BUENO,461342,2022-12-24T00:00:00Z
285,4,3,MUY BUENO,5158861,2022-02-27T00:00:00Z
286,1,2,REGULAR,5213823,2021-03-31T00:00:00Z
287,4,4,EXCELENTE,3568169,2021-10-27T00:00:00Z
288,3,4,MUY BUENO,17046,2021-02-18T00:00:00Z
289,5,5,EXCELENTE,7537965,2021-01-13T00:00:00Z
290,1,1,DEFICIENTE,17646,2021-09-17T00:00:00Z
291,4,5,EXCELENTE,5237139,2023-04-13T00:00:00Z
292,4,3,MUY BUENO,52102,2021-07-30T00:00:00Z
293,5,5,EXCELENTE,17980,2022-09-16T00:00:00Z
294,3,4,MUY BUENO,17760,2022-11-16T00:00:00Z
295,1,1,DEFICIENTE,17593,2023-09-03T00:00:00Z
296,5,5,EXCELENTE,18005,2021-12-03T00:00:00Z
297,5,5,EXCELENTE,16785,2021-07-23T00:00:00Z
298,2,1,REGULAR,17578,2023-10-08T00:00:00Z
299,5,4,EXCELENTE,17949,2022-12-23T00:00:00Z
300,4,5,EXCELENTE,17395,2021-07-27T00:00:00Z
301,1,1,DEFICIENTE,17549,2022-01-14T00:00:00Z
302,1,2,REGULAR,16776,2022-09-22T00:00:00Z
303,3,2,ACEPTABLE,16743,2022-11-11T00:00:00Z
304,1,2,REGULAR,52060,2023-07-10T00:00:00Z
305,5,5,EXCELENTE,17975,2022-04-01T00:00:00Z
306,2,1,REGULAR,18054,2022-08-25T00:00:00Z
307,4,4,EXCELENTE,17276,2022-02-17T00:00:00Z
308,1,1,DEFICIENTE,7928425,2022-11-27T00:00:00Z
309,2,3,ACEPTABLE,17562,2021-03-15T00:00:00Z
310,4,3,MUY BUENO,17555,2023-09-17T00:00:00Z
311,3,3,MUY BUENO,8799606,2021-04-21T00:00:00Z
312,2,3,ACEPTABLE,18140,2021-09-04T00:00:00Z
313,2,3,ACEPTABLE,17342,2022-02-05T00:00:00Z
314,4,5,EXCELENTE,17426,2022-08-07T00:00:00Z
315,4,5,EXCELENTE,18508,2021-10-25T00:00:00Z
316,5,5,EXCELENTE,17278,2023-06-24T00:00:00Z
317,5,4,EXCELENTE,16959,2021-12-06T00:00:00Z
318,4,5,EXCELENTE,17207,2023-02-09T00:00:00Z
319,5,5,EXCELENTE,5653967,2022-10-11T00:00:00Z
320,4,5,EXCELENTE,17897,2023-02-05T00:00:00Z
321,4,4,EXCELENTE,5241187,2023-09-07T00:00:00Z
322,3,2,ACEPTABLE,18467,2021-01-19T00:00:00Z
323,4,5,EXCELENTE,17664,2021-08-19T00:00:00Z
324,1,2,REGULAR,52141,2022-10-18T00:00:00Z
325,3,3,MUY BUENO,18604,2021-07-21T00:00:00Z
326,4,3,MUY BUENO,3573331,2022-04-08T00:00:00Z
327,5,4,EXCELENTE,52177,2023-11-08T00:00:00Z
328,3,4,MUY BUENO,18485,2023-06-22T00:00:00Z
329,2,2,ACEPTABLE,8218587,2023-03-24T00:00:00Z
330,2,1,REGULAR,5075332,2022-01-12T00:00:00Z
331,1,1,DEFICIENTE,5237113,2022-10-10T00:00:00Z
332,5,5,EXCELENTE,18279,2023-04-11T00:00:00Z
333,1,1,DEFICIENTE,17194,2023-09-05T00:00:00Z
334,4,3,MUY BUENO,17383,2022-02-15T00:00:00Z
335,5,5,EXCELENTE,16686,2021-07-20T00:00:00Z
336,4,4,EXCELENTE,17945,2023-01-29T00:00:00Z
337,1,1,DEFICIENTE,52184,2023-11-07T00:00:00Z
338,1,1,DEFICIENTE,5246197,2023-04-20T00:00:00Z
339,4,5,EXCELENTE,17136,2021-08-24T00:00:00Z
340,3,3,MUY BUENO,17990,2022-06-14T00:00:00Z
341,4,4,EXCELENTE,18363,2022-03-17T00:00:00Z
342,1,1,DEFICIENTE,7126156,2021-10-28T00:00:00Z
343,4,5,EXCELENTE,8799607,2022-01-26T00:00:00Z
344,2,1,REGULAR,16887,2023-12-02T00:00:00Z
345,2,3,ACEPTABLE,17745,2022-05-27T00:00:00Z
346,5,4,EXCELENTE,9187543,2022-11-10T00:00:00Z
347,3,4,MUY BUENO,7107693,2021-09-04T00:00:00Z
348,1,1,DEFICIENTE,17027,2023-06-26T00:00:00Z
349,3,2,ACEPTABLE,7107693,2022-06-07T00:00:00Z
350,5,5,EXCELENTE,6819625,2022-02-21T00:00:00Z
351,5,4,EXCELENTE,17939,2023-05-24T00:00:00Z
352,5,4,EXCELENTE,17324,2023-03-22T00:00:00Z
353,2,3,ACEPTABLE,17814,2023-03-16T00:00:00Z
354,3,4,MUY BUENO,17612,2021-06-04T00:00:00Z
355,4,4,EXCELENTE,17242,2021-10-05T00:00:00Z
356,3,4,MUY BUENO,7168554,2022-05-27T00:00:00Z
357,2,2,ACEPTABLE,5653909,2023-08-26T00:00:00Z
358,4,5,EXCELENTE,7591618,2022-12-30T00:00:00Z
359,1,1,DEFICIENTE,4737941,2021-02-02T00:00:00Z
360,3,4,MUY BUENO,17445,2023-11-09T00:00:00Z
361,1,1,DEFICIENTE,8799553,2022-03-28T00:00:00Z
362,1,1,DEFICIENTE,17965,2021-09-28T00:00:00Z
363,4,3,MUY BUENO,7403983,2023-01-25T00:00:00Z
364,1,2,REGULAR,8799606,2023-07-14T00:00:00Z
365,4,3,MUY BUENO,17206,2023-12-17T00:00:00Z
366,5,5,EXCELENTE,18506,2021-07-10T00:00:00Z
367,1,2,REGULAR,16822,2022-07-08T00:00:00Z
368,2,1,REGULAR,18068,2023-01-21T00:00:00Z
369,4,3,MUY BUENO,18135,2023-01-11T00:00:00Z
370,1,1,DEFICIENTE,3573052,2021-04-03T00:00:00Z
371,1,1,DEFICIENTE,5799343,2022-11-19T00:00:00Z
372,2,2,ACEPTABLE,17065,2021-05-26T00:00:00Z
373,3,4,MUY BUENO,7125619,2023-03-21T00:00:00Z
374,3,3,MUY BUENO,7248182,2021-10-23T00:00:00Z
375,3,2,ACEPTABLE,5653965,2021-11-03T00:00:00Z
376,5,5,EXCELENTE,17425,2023-05-15T00:00:00Z
377,5,4,EXCELENTE,18066,2021-02-08T00:00:00Z
378,2,1,REGULAR,17593,2022-11-02T00:00:00Z
379,3,2,ACEPTABLE,16770,2023-01-12T00:00:00Z
380,5,5,EXCELENTE,17754,2022-08-20T00:00:00Z
381,1,1,DEFICIENTE,3569222,2022-09-10T00:00:00Z
382,3,3,MUY BUENO,9294001,2022-09-24T00:00:00Z
383,5,5,EXCELENTE,16965,2021-04-03T00:00:00Z
384,1,1,DEFICIENTE,18374,2023-10-10T00:00:00Z
385,1,1,DEFICIENTE,16972,2023-07-14T00:00:00Z
386,2,1,REGULAR,17064,2023-06-23T00:00:00Z
387,5,5,EXCELENTE,17392,2023-06-08T00:00:00Z
388,5,5,EXCELENTE,18447,2022-07-04T00:00:00Z
389,5,4,EXCELENTE,52159,2022-07-13T00:00:00Z
390,1,2,REGULAR,4749887,2023-07-11T00:00:00Z
391,5,5,EXCELENTE,18393,2023-10-05T00:00:00Z
392,1,1,DEFICIENTE,17158,2021-06-29T00:00:00Z
393,4,4,EXCELENTE,18071,2021-12-11T00:00:00Z
394,2,2,ACEPTABLE,8914013,2023-07-16T00:00:00Z
395,1,1,DEFICIENTE,17642,2023-12-10T00:00:00Z
396,1,1,DEFICIENTE,17505,2022-08-23T00:00:00Z
397,5,5,EXCELENTE,16964,2022-01-12T00:00:00Z
398,5,4,EXCELENTE,7889423,2021-01-18T00:00:00Z
399,2,3,ACEPTABLE,18422,2023-09-30T00:00:00Z
400,3,2,ACEPTABLE,18493,2021-01-15T00:00:00Z
401,5,5,EXCELENTE,3740132,2022-10-13T00:00:00Z
402,3,2,ACEPTABLE,18030,2022-02-04T00:00:00Z
403,4,4,EXCELENTE,16973,2022-11-27T00:00:00Z
404,2,1,REGULAR,17869,2021-11-24T00:00:00Z
405,3,3,MUY BUENO,52073,2022-10-23T00:00:00Z
406,2,3,ACEPTABLE,16957,2022-09-05T00:00:00Z
407,2,2,ACEPTABLE,7840483,2022-09-14T00:00:00Z
408,5,5,EXCELENTE,7126156,2022-09-15T00:00:00Z
409,2,3,ACEPTABLE,17251,2023-09-18T00:00:00Z
410,4,3,MUY BUENO,7886698,2021-11-15T00:00:00Z
411,5,5,EXCELENTE,5240105,2021-11-03T00:00:00Z
412,5,5,EXCELENTE,17203,2021-11-05T00:00:00Z
413,2,2,ACEPTABLE,17122,2022-08-11T00:00:00Z
414,4,3,MUY BUENO,7162223,2022-11-10T00:00:00Z
415,5,5,EXCELENTE,52199,2023-06-22T00:00:00Z
416,2,2,ACEPTABLE,17931,2021-12-07T00:00:00Z
417,1,1,DEFICIENTE,16663,2021-02-16T00:00:00Z
418,5,5,EXCELENTE,3991326,2023-06-12T00:00:00Z
419,2,3,ACEPTABLE,52221,2022-12-02T00:00:00Z
420,5,5,EXCELENTE,16708,2021-08-30T00:00:00Z
421,2,3,ACEPTABLE,17787,2023-03-05T00:00:00Z
422,3,4,MUY BUENO,3573049,2023-11-13T00:00:00Z
423,3,3,MUY BUENO,18634,2021-11-17T00:00:00Z
424,1,2,REGULAR,17682,2022-03-05T00:00:00Z
425,4,5,EXCELENTE,17692,2023-03-26T00:00:00Z
426,4,5,EXCELENTE,17308,2022-02-14T00:00:00Z
427,3,2,ACEPTABLE,18357,2023-01-30T00:00:00Z
428,4,3,MUY BUENO,17034,2021-04-26T00:00:00Z
429,2,3,ACEPTABLE,17109,2022-02-27T00:00:00Z
